Estrategia,Recomendacion,Confianza,DiasValidos,DiasGanadores,DiasPerdedores,WinRate%,LossRate%,GananciaTotal%,GananciaPromedioDiaria%,GananciaMaximaDia%,PerdidaMaximaDia%,MaxConsecutivoGanador,MaxConsecutivoPerdedor,VolatilidadGanancias%,SharpeRatio,MaxDrawdown%,ConsistenciaScore
LONG ETHUSDT/SHORT APTUSDT,BUY,71.45,100,62,38,62.00,38.00,47.24,0.47,8.95,-13.35,10,3,2.66,0.18,15.92,73.4
LONG ETHUSDT/SHORT INJUSDT,BUY,68.95,100,61,39,61.00,39.00,39.74,0.40,6.70,-6.79,8,5,2.81,0.14,12.02,71.9
LONG ETHUSDT/SHORT CAKEUSDT,BUY,68.19,100,60,40,60.00,40.00,40.93,0.41,5.44,-13.08,8,5,2.68,0.15,25.13,73.2
LONG ETHUSDT/SHORT DYDXUSDT,BUY,65.26,100,59,41,59.00,41.00,31.31,0.31,6.43,-6.36,7,5,2.70,0.12,17.43,73.0
LONG ETHUSDT/SHORT GMXUSDT,BUY,63.52,100,56,44,56.00,44.00,37.60,0.38,20.45,-29.65,7,6,5.00,0.08,36.69,50.0
LONG ETHUSDT/SHORT DOTUSDT,BUY,62.93,100,55,45,55.00,45.00,39.66,0.40,6.48,-4.97,6,7,2.07,0.19,16.08,79.3
LONG LINKUSDT/SHORT GMXUSDT,BUY,62.74,100,55,45,55.00,45.00,38.68,0.39,16.58,-25.61,6,4,4.88,0.08,35.18,51.2
LONG ETHUSDT/SHORT SUIUSDT,BUY,61.84,100,55,45,55.00,45.00,34.20,0.34,11.32,-10.04,7,4,2.95,0.12,21.24,70.5
LONG ETHUSDT/SHORT ARBUSDT,HOLD,61.65,100,59,41,59.00,41.00,13.24,0.13,6.91,-16.14,5,3,3.49,0.04,25.45,65.1
LONG ETHUSDT/SHORT CRVUSDT,BUY,60.86,100,55,45,55.00,45.00,29.29,0.29,10.29,-14.24,9,5,3.56,0.08,44.71,64.4
LONG ETHUSDT/SHORT XRPUSDT,HOLD,59.46,100,54,46,54.00,46.00,27.29,0.27,8.09,-11.47,7,5,2.74,0.10,15.91,72.6
LONG ETHUSDT/SHORT OPUSDT,HOLD,58.45,100,53,47,53.00,47.00,27.23,0.27,10.71,-7.60,4,4,3.15,0.09,17.67,68.5
LONG BTCUSDT/SHORT PEPEUSDT,HOLD,56.86,100,56,44,56.00,44.00,4.30,0.04,9.16,-8.01,8,4,3.58,0.01,36.23,64.2
LONG BTCUSDT/SHORT XLMUSDT,SELL,55.04,100,54,46,54.00,46.00,-45.22,-0.45,8.42,-18.36,6,6,3.89,-0.12,72.07,61.1
LONG ETHUSDT/SHORT LDOUSDT,SELL,49.49,100,51,49,51.00,49.00,-2.46,-0.02,7.12,-12.04,4,6,3.50,-0.01,36.12,65.0
